file_stem,station,location,angle,rel_path,url
botanic-garden,botanic-garden,,,botanic-garden.webp,https://studiorxch.github.io/cdn/station/botanic-garden.webp
wilson-ave,wilson-ave,,,wilson-ave.webp,https://studiorxch.github.io/cdn/station/wilson-ave.webp
w-8th-st---ny-aquarium,w-8th-st---ny-aquarium,,,w-8th-st---ny-aquarium.webp,https://studiorxch.github.io/cdn/station/w-8th-st---ny-aquarium.webp
111th-st-j,111th-st-j,,,111th-st-j.webp,https://studiorxch.github.io/cdn/station/111th-st-j.webp
bedford-park-blvd,bedford-park-blvd,,,bedford-park-blvd.webp,https://studiorxch.github.io/cdn/station/bedford-park-blvd.webp
nostrand-ave-3-4,nostrand-ave-3-4,,,nostrand-ave-3-4.webp,https://studiorxch.github.io/cdn/station/nostrand-ave-3-4.webp
central-ave,central-ave,,,central-ave.webp,https://studiorxch.github.io/cdn/station/central-ave.webp
59th-st-4-5-6-6-express,59th-st-4-5-6-6-express,,,59th-st-4-5-6-6-express.webp,https://studiorxch.github.io/cdn/station/59th-st-4-5-6-6-express.webp
183rd-st,183rd-st,,,183rd-st.webp,https://studiorxch.github.io/cdn/station/183rd-st.webp
van-cortlandt-park---242nd-st,van-cortlandt-park---242nd-st,,,van-cortlandt-park---242nd-st.webp,https://studiorxch.github.io/cdn/station/van-cortlandt-park---242nd-st.webp
ozone-park---lefferts-blvd,ozone-park---lefferts-blvd,,,ozone-park---lefferts-blvd.webp,https://studiorxch.github.io/cdn/station/ozone-park---lefferts-blvd.webp
jay-st---metrotech,jay-st---metrotech,,,jay-st---metrotech.webp,https://studiorxch.github.io/cdn/station/jay-st---metrotech.webp
121st-st,121st-st,,,121st-st.webp,https://studiorxch.github.io/cdn/station/121st-st.webp
myrtle-ave,myrtle-ave,,,myrtle-ave.webp,https://studiorxch.github.io/cdn/station/myrtle-ave.webp
174th-175th-sts,174th-175th-sts,,,174th-175th-sts.webp,https://studiorxch.github.io/cdn/station/174th-175th-sts.webp
marble-hill---225th-st,marble-hill---225th-st,,,marble-hill---225th-st.webp,https://studiorxch.github.io/cdn/station/marble-hill---225th-st.webp
34th-st---hudson-yards,34th-st---hudson-yards,,,34th-st---hudson-yards.webp,https://studiorxch.github.io/cdn/station/34th-st---hudson-yards.webp
116th-st-2-3,116th-st-2-3,,,116th-st-2-3.webp,https://studiorxch.github.io/cdn/station/116th-st-2-3.webp
116th-st-4-6-6-express,116th-st-4-6-6-express,,,116th-st-4-6-6-express.webp,https://studiorxch.github.io/cdn/station/116th-st-4-6-6-express.webp
queens-plz,queens-plz,,,queens-plz.webp,https://studiorxch.github.io/cdn/station/queens-plz.webp
vernon-blvd---jackson-ave,vernon-blvd---jackson-ave,,,vernon-blvd---jackson-ave.webp,https://studiorxch.github.io/cdn/station/vernon-blvd---jackson-ave.webp
bedford---nostrand-aves,bedford---nostrand-aves,,,bedford---nostrand-aves.webp,https://studiorxch.github.io/cdn/station/bedford---nostrand-aves.webp
bedford-park-blvd---lehman-college,bedford-park-blvd---lehman-college,,,bedford-park-blvd---lehman-college.webp,https://studiorxch.github.io/cdn/station/bedford-park-blvd---lehman-college.webp
kings-hwy-n,kings-hwy-n,,,kings-hwy-n.webp,https://studiorxch.github.io/cdn/station/kings-hwy-n.webp
gravesend---86th-st,gravesend---86th-st,,,gravesend---86th-st.webp,https://studiorxch.github.io/cdn/station/gravesend---86th-st.webp
3rd-ave,3rd-ave,,,3rd-ave.webp,https://studiorxch.github.io/cdn/station/3rd-ave.webp
5th-ave---59th-st,5th-ave---59th-st,,,5th-ave---59th-st.webp,https://studiorxch.github.io/cdn/station/5th-ave---59th-st.webp
neptune-ave,neptune-ave,,,neptune-ave.webp,https://studiorxch.github.io/cdn/station/neptune-ave.webp
125th-st-a-b-c-d,125th-st-a-b-c-d,,,125th-st-a-b-c-d.webp,https://studiorxch.github.io/cdn/station/125th-st-a-b-c-d.webp
van-siclen-ave-j-z,van-siclen-ave-j-z,,,van-siclen-ave-j-z.webp,https://studiorxch.github.io/cdn/station/van-siclen-ave-j-z.webp
kingsbridge-rd-4,kingsbridge-rd-4,,,kingsbridge-rd-4.webp,https://studiorxch.github.io/cdn/station/kingsbridge-rd-4.webp
spring-st-a-c-e,spring-st-a-c-e,,,spring-st-a-c-e.webp,https://studiorxch.github.io/cdn/station/spring-st-a-c-e.webp
8th-st---nyu,8th-st---nyu,,,8th-st---nyu.webp,https://studiorxch.github.io/cdn/station/8th-st---nyu.webp
nassau-ave,nassau-ave,,,nassau-ave.webp,https://studiorxch.github.io/cdn/station/nassau-ave.webp
75th-st---eldert-ln,75th-st---eldert-ln,,,75th-st---eldert-ln.webp,https://studiorxch.github.io/cdn/station/75th-st---eldert-ln.webp
21st-st---queensbridge,21st-st---queensbridge,,,21st-st---queensbridge.webp,https://studiorxch.github.io/cdn/station/21st-st---queensbridge.webp
borough-hall,borough-hall,,,borough-hall.webp,https://studiorxch.github.io/cdn/station/borough-hall.webp
delancey-st---essex-st,delancey-st---essex-st,,,delancey-st---essex-st.webp,https://studiorxch.github.io/cdn/station/delancey-st---essex-st.webp
beach-98th-st,beach-98th-st,,,beach-98th-st.webp,https://studiorxch.github.io/cdn/station/beach-98th-st.webp
lorimer-st-l,lorimer-st-l,,,lorimer-st-l.webp,https://studiorxch.github.io/cdn/station/lorimer-st-l.webp
40th-st,40th-st,,,40th-st.webp,https://studiorxch.github.io/cdn/station/40th-st.webp
clinton---washington-aves-g,clinton---washington-aves-g,,,clinton---washington-aves-g.webp,https://studiorxch.github.io/cdn/station/clinton---washington-aves-g.webp
liberty-ave,liberty-ave,,,liberty-ave.webp,https://studiorxch.github.io/cdn/station/liberty-ave.webp
fordham-rd-b-d,fordham-rd-b-d,,,fordham-rd-b-d.webp,https://studiorxch.github.io/cdn/station/fordham-rd-b-d.webp
norwood-ave,norwood-ave,,,norwood-ave.webp,https://studiorxch.github.io/cdn/station/norwood-ave.webp
canal-st---holland-tunnel,canal-st---holland-tunnel,,,canal-st---holland-tunnel.webp,https://studiorxch.github.io/cdn/station/canal-st---holland-tunnel.webp
